ORD0000000008,2023-01-01 02:16:00,CUST100296,Nora Toure,Consumer,Morocco,Casablanca,PROD00248,Electronics,Bluetooth Speaker,6,13.75,0.20,Credit Card,Standard,Processing,3,66.00,14.52,Referral
ORD0000000016,2023-01-01 04:32:00,CUST100592,Amina Khalil,Consumer,Morocco,Casablanca,PROD00496,Electronics,Bluetooth Speaker,2,21.51,0.15,Credit Card,Standard,Delivered,5,36.57,4.75,Social Media
ORD0000000024,2023-01-01 06:48:00,CUST100888,Nora Traore,Consumer,Morocco,Casablanca,PROD00744,Electronics,Bluetooth Speaker,7,29.27,0.10,Credit Card,Standard,Delivered,2,184.40,49.79,Organic Search
ORD0000000032,2023-01-01 09:04:00,CUST101184,Amina Adeyemi,Consumer,Morocco,Casablanca,PROD00992,Electronics,Bluetooth Speaker,3,37.03,0.05,Credit Card,Standard,Processing,4,105.54,19.00,Referral
ORD0000000040,2023-01-01 11:20:00,CUST101480,Nora Hassan,Consumer,Morocco,Casablanca,PROD01240,Electronics,Bluetooth Speaker,8,44.79,0.00,Credit Card,Standard,Delivered,1,358.32,32.25,Social Media
ORD0000000048,2023-01-01 13:36:00,CUST101776,Amina Mensah,Consumer,Morocco,Casablanca,PROD01488,Electronics,Bluetooth Speaker,4,52.55,0.20,Credit Card,Standard,Delivered,3,168.16,38.68,Organic Search
ORD0000000056,2023-01-01 15:52:00,CUST102072,Nora Bennani,Consumer,Morocco,Casablanca,PROD01736,Electronics,Bluetooth Speaker,9,60.31,0.15,Credit Card,Standard,Processing,5,461.37,64.59,Referral
ORD0000000064,2023-01-01 18:08:00,CUST102368,Amina Toure,Consumer,Morocco,Casablanca,PROD01984,Electronics,Bluetooth Speaker,5,68.07,0.10,Credit Card,Standard,Delivered,2,306.31,85.77,Social Media
ORD0000000072,2023-01-01 20:24:00,CUST102664,Nora Khalil,Consumer,Morocco,Casablanca,PROD02232,Electronics,Bluetooth Speaker,1,75.83,0.05,Credit Card,Standard,Delivered,4,72.04,13.69,Organic Search
ORD0000000080,2023-01-01 22:40:00,CUST102960,Amina Traore,Consumer,Morocco,Casablanca,PROD02480,Electronics,Bluetooth Speaker,6,83.59,0.00,Credit Card,Standard,Processing,1,501.54,50.15,Referral
ORD0000000088,2023-01-02 00:56:00,CUST103256,Nora Adeyemi,Consumer,Morocco,Casablanca,PROD02728,Electronics,Bluetooth Speaker,2,91.35,0.20,Credit Card,Standard,Delivered,3,146.16,35.08,Social Media
ORD0000000096,2023-01-02 03:12:00,CUST103552,Amina Hassan,Consumer,Morocco,Casablanca,PROD02976,Electronics,Bluetooth Speaker,7,99.11,0.15,Credit Card,Standard,Delivered,5,589.70,88.46,Organic Search
ORD0000000104,2023-01-02 05:28:00,CUST103848,Nora Mensah,Consumer,Morocco,Casablanca,PROD03224,Electronics,Bluetooth Speaker,3,106.87,0.10,Credit Card,Standard,Processing,2,288.55,83.68,Referral
ORD0000000112,2023-01-02 07:44:00,CUST104144,Amina Bennani,Consumer,Morocco,Casablanca,PROD03472,Electronics,Bluetooth Speaker,8,114.63,0.05,Credit Card,Standard,Delivered,4,871.19,174.24,Social Media
ORD0000000120,2023-01-02 10:00:00,CUST104440,Nora Toure,Consumer,Morocco,Casablanca,PROD03720,Electronics,Bluetooth Speaker,4,122.39,0.00,Credit Card,Standard,Delivered,1,489.56,53.85,Organic Search
ORD0000000128,2023-01-02 12:16:00,CUST104736,Amina Khalil,Consumer,Morocco,Casablanca,PROD03968,Electronics,Bluetooth Speaker,9,130.15,0.20,Credit Card,Standard,Processing,3,937.08,234.27,Referral
ORD0000000136,2023-01-02 14:32:00,CUST105032,Nora Traore,Consumer,Morocco,Casablanca,PROD04216,Electronics,Bluetooth Speaker,5,137.91,0.15,Credit Card,Standard,Delivered,5,586.12,93.78,Social Media
ORD0000000144,2023-01-02 16:48:00,CUST105328,Amina Adeyemi,Consumer,Morocco,Casablanca,PROD04464,Electronics,Bluetooth Speaker,1,145.67,0.10,Credit Card,Standard,Delivered,2,131.10,39.33,Organic Search
ORD0000000152,2023-01-02 19:04:00,CUST105624,Nora Hassan,Consumer,Morocco,Casablanca,PROD04712,Electronics,Bluetooth Speaker,6,153.43,0.05,Credit Card,Standard,Processing,4,874.55,183.66,Referral
ORD0000000160,2023-01-02 21:20:00,CUST105920,Amina Mensah,Consumer,Morocco,Casablanca,PROD04960,Electronics,Bluetooth Speaker,2,161.19,0.00,Credit Card,Standard,Delivered,1,322.38,38.69,Social Media
ORD0000000168,2023-01-02 23:36:00,CUST106216,Nora Bennani,Consumer,Morocco,Casablanca,PROD05208,Electronics,Bluetooth Speaker,7,168.95,0.20,Credit Card,Standard,Delivered,3,946.12,245.99,Organic Search
ORD0000000176,2023-01-03 01:52:00,CUST106512,Amina Toure,Consumer,Morocco,Casablanca,PROD05456,Electronics,Bluetooth Speaker,3,176.71,0.15,Credit Card,Standard,Processing,5,450.61,76.60,Referral
ORD0000000184,2023-01-03 04:08:00,CUST106808,Nora Khalil,Consumer,Morocco,Casablanca,PROD05704,Electronics,Bluetooth Speaker,8,184.47,0.10,Credit Card,Standard,Delivered,2,1328.18,106.25,Social Media
ORD0000000192,2023-01-03 06:24:00,CUST107104,Amina Traore,Consumer,Morocco,Casablanca,PROD05952,Electronics,Bluetooth Speaker,4,192.23,0.05,Credit Card,Standard,Delivered,4,730.47,160.70,Organic Search
ORD0000000200,2023-01-03 08:40:00,CUST107400,Nora Adeyemi,Consumer,Morocco,Casablanca,PROD06200,Electronics,Bluetooth Speaker,9,199.99,0.00,Credit Card,Standard,Processing,1,1799.91,233.99,Referral
ORD0000000208,2023-01-03 10:56:00,CUST107696,Amina Hassan,Consumer,Morocco,Casablanca,PROD06448,Electronics,Bluetooth Speaker,5,207.75,0.20,Credit Card,Standard,Delivered,3,831.00,224.37,Social Media
