ORD0000000001,2023-01-01 00:17:00,CUST100037,Omar Kone,Small Business,Ghana,Accra,PROD00031,Sports,Training Gloves,5,6.96,0.15,Credit Card,Pickup Point,Returned,5,29.58,7.99,Marketplace
ORD0000000009,2023-01-01 02:33:00,CUST100333,Karim Okafor,Small Business,Ghana,Accra,PROD00279,Sports,Training Gloves,1,14.72,0.10,Credit Card,Pickup Point,Shipped,2,13.25,2.38,Email
ORD0000000017,2023-01-01 04:49:00,CUST100629,Omar Diallo,Small Business,Ghana,Accra,PROD00527,Sports,Training Gloves,6,22.48,0.05,Credit Card,Pickup Point,Delivered,4,128.14,11.53,Paid Search
ORD0000000025,2023-01-01 07:05:00,CUST100925,Karim Ali,Small Business,Ghana,Accra,PROD00775,Sports,Training Gloves,2,30.24,0.00,Credit Card,Pickup Point,Returned,1,60.48,13.91,Marketplace
ORD0000000033,2023-01-01 09:21:00,CUST101221,Omar Mansour,Small Business,Ghana,Accra,PROD01023,Sports,Training Gloves,7,38.00,0.20,Credit Card,Pickup Point,Shipped,3,212.80,29.79,Email
ORD0000000041,2023-01-01 11:37:00,CUST101517,Karim Abdi,Small Business,Ghana,Accra,PROD01271,Sports,Training Gloves,3,45.76,0.15,Credit Card,Pickup Point,Delivered,5,116.69,32.67,Paid Search
ORD0000000049,2023-01-01 13:53:00,CUST101813,Omar Ndiaye,Small Business,Ghana,Accra,PROD01519,Sports,Training Gloves,8,53.52,0.10,Credit Card,Pickup Point,Returned,2,385.34,73.21,Marketplace
ORD0000000057,2023-01-01 16:09:00,CUST102109,Karim Kone,Small Business,Ghana,Accra,PROD01767,Sports,Training Gloves,4,61.28,0.05,Credit Card,Pickup Point,Shipped,4,232.86,23.29,Email
ORD0000000065,2023-01-01 18:25:00,CUST102405,Omar Okafor,Small Business,Ghana,Accra,PROD02015,Sports,Training Gloves,9,69.04,0.00,Credit Card,Pickup Point,Delivered,1,621.36,149.13,Paid Search
ORD0000000073,2023-01-01 20:41:00,CUST102701,Karim Diallo,Small Business,Ghana,Accra,PROD02263,Sports,Training Gloves,5,76.80,0.20,Credit Card,Pickup Point,Returned,3,307.20,46.08,Marketplace
ORD0000000081,2023-01-01 22:57:00,CUST102997,Omar Ali,Small Business,Ghana,Accra,PROD02511,Sports,Training Gloves,1,84.56,0.15,Credit Card,Pickup Point,Shipped,5,71.88,20.85,Email
ORD0000000089,2023-01-02 01:13:00,CUST103293,Karim Mansour,Small Business,Ghana,Accra,PROD02759,Sports,Training Gloves,6,92.32,0.10,Credit Card,Pickup Point,Delivered,2,498.53,99.71,Paid Search
ORD0000000097,2023-01-02 03:29:00,CUST103589,Omar Abdi,Small Business,Ghana,Accra,PROD03007,Sports,Training Gloves,2,100.08,0.05,Credit Card,Pickup Point,Returned,4,190.15,20.92,Marketplace
ORD0000000105,2023-01-02 05:45:00,CUST103885,Karim Ndiaye,Small Business,Ghana,Accra,PROD03255,Sports,Training Gloves,7,107.84,0.00,Credit Card,Pickup Point,Shipped,1,754.88,188.72,Email
ORD0000000113,2023-01-02 08:01:00,CUST104181,Omar Kone,Small Business,Ghana,Accra,PROD03503,Sports,Training Gloves,3,115.60,0.20,Credit Card,Pickup Point,Delivered,3,277.44,44.39,Paid Search
ORD0000000121,2023-01-02 10:17:00,CUST104477,Karim Okafor,Small Business,Ghana,Accra,PROD03751,Sports,Training Gloves,8,123.36,0.15,Credit Card,Pickup Point,Returned,5,838.85,251.66,Marketplace
ORD0000000129,2023-01-02 12:33:00,CUST104773,Omar Diallo,Small Business,Ghana,Accra,PROD03999,Sports,Training Gloves,4,131.12,0.10,Credit Card,Pickup Point,Shipped,2,472.03,99.13,Email
ORD0000000137,2023-01-02 14:49:00,CUST105069,Karim Ali,Small Business,Ghana,Accra,PROD04247,Sports,Training Gloves,9,138.88,0.05,Credit Card,Pickup Point,Delivered,4,1187.42,142.49,Paid Search
ORD0000000145,2023-01-02 17:05:00,CUST105365,Omar Mansour,Small Business,Ghana,Accra,PROD04495,Sports,Training Gloves,5,146.64,0.00,Credit Card,Pickup Point,Returned,1,733.20,190.63,Marketplace
